% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 21 2026, 11:02
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -3.8970713807048236      -2.656698418437338
3.2E11                    -4.136211343297972       -2.504447405836166
3.4E11                    -4.4328809528976505      -2.336488315508357
3.6E11                    -4.807697823676313       -2.1497461889137317
3.8E11                    -5.288946556825297       -1.9419176005449093
4.0E11                    -5.914859804211919       -1.7126157192253755
4.2E11                    -6.734774741290388       -1.46506748962778
4.4E11                    -7.804253368486758       -1.2081037841778628
4.6E11                    -9.157452761650902       -0.9575350073739836
4.8E11                    -10.706311600180985      -0.7352968235731362
5.0E11                    -11.994823096512892      -0.5649470471153248
5.2E11                    -12.173736246585245      -0.4642525766841211
5.4E11                    -11.090775916163182      -0.4387295836142122
5.6E11                    -9.556132611094705       -0.4804472021907831
5.8E11                    -8.144332669958414       -0.5725641346735383
6.0E11                    -7.002603458312792       -0.6959598425557187
6.2E11                    -6.113970974935007       -0.8341362823692767
6.4E11                    -5.426682858899827       -0.9751346196363258
6.6E11                    -4.891512292164415       -1.1112566840696656
6.8E11                    -4.46791108708797        -1.2380199227700266
7.0E11                    -4.118043082814919       -1.3549058225324762
7.2E11                    -3.8051140793395257      -1.4710717795846424
7.4E11                    -3.5352648218704585      -1.5922199230293703
7.6E11                    -3.3225238176894356      -1.7057575404416616
7.8E11                    -3.1476620915314175      -1.8094298231688764
8.0E11                    -2.9960489013488805      -1.9068569746023
