% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 21 2026, 11:03
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -3.1639166160528482      -3.100298947300091
3.2E11                    -3.2566009873201063      -3.009260773890765
3.4E11                    -3.3658249323650806      -2.912507080995704
3.6E11                    -3.497311534440104       -2.807566481026378
3.8E11                    -3.65880025440058        -2.691420425426828
4.0E11                    -3.8608906626559545      -2.5604633362626554
4.2E11                    -4.118249621049669       -2.410571240486378
4.4E11                    -4.451307054078884       -2.237399008842324
4.6E11                    -4.888524270124303       -2.037095298638757
4.8E11                    -5.469064100339105       -1.8076723283288847
5.0E11                    -6.244739917097588       -1.551186427730111
5.2E11                    -7.276902039862173       -1.2764727021591682
5.4E11                    -8.613202604988416       -1.0012671438087108
5.6E11                    -10.196627819356209      -0.7514918719632334
5.8E11                    -11.619314110384755      -0.5556890099951738
6.0E11                    -11.996964437874835      -0.43561553485592286
6.2E11                    -11.023293515035368      -0.39826431230926695
6.4E11                    -9.505326045230545       -0.4347820991848088
6.6E11                    -8.086266692317022       -0.5262789578522405
6.8E11                    -6.938256028699921       -0.6515435978577155
7.0E11                    -6.046459953631223       -0.7922234693324814
7.2E11                    -5.353183150188321       -0.934920236170028
7.4E11                    -4.7906637169442785      -1.074514227914395
7.6E11                    -4.299435032556406       -1.2222772840172307
7.8E11                    -3.8949452857167985      -1.3814239522967044
8.0E11                    -3.588504242577943       -1.531223611527931
