% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 19 2026, 07:38
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -6.084119483172284       -1.7683585974453642
3.2E11                    -6.846269037775782       -1.5370510941803235
3.4E11                    -7.809448589751695       -1.301792091517055
3.6E11                    -9.00333554485638        -1.0730178520683282
3.8E11                    -10.386557386958128      -0.8655502621179492
4.0E11                    -11.696796210814037      -0.6965972399728062
4.2E11                    -12.311781993844468      -0.5816191308603239
4.4E11                    -11.756081745742417      -0.529419367896553
4.6E11                    -10.436987052687757      -0.5391078827401448
4.8E11                    -9.00566001165013        -0.6008417857634231
5.0E11                    -7.760293263386546       -0.6997089642013076
5.2E11                    -6.75590492571975        -0.8202814077735836
5.4E11                    -5.965245577304657       -0.9497483070173084
5.6E11                    -5.344839975718818       -1.0790894447208361
5.8E11                    -4.854923626911821       -1.2028511297140223
6.0E11                    -4.463763547805527       -1.3183057341770374
6.2E11                    -4.147322750425894       -1.4245211855276485
6.4E11                    -3.8878149324262017      -1.5215543042676254
6.6E11                    -3.672061518522747       -1.6097841367921188
6.8E11                    -3.4886494580153333      -1.6896591650659905
7.0E11                    -3.3216532861046137      -1.7646168284418173
7.2E11                    -3.164467692013526       -1.8421852749210321
7.4E11                    -3.029940709296526       -1.9184025442985089
7.6E11                    -2.9133820161230926      -1.9906430188872837
7.8E11                    -2.8079983353352316      -2.0606666275570023
8.0E11                    -2.7104464637133105      -2.130045288975246
