% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 22 2026, 08:56
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -4.796705004533285       -2.2049543420781044
3.2E11                    -5.28751715631711        -1.9974664383240675
3.4E11                    -5.893180909752549       -1.7806337850548255
3.6E11                    -6.641139169155267       -1.55829697660797
3.8E11                    -7.554017821931303       -1.3374923317907288
4.0E11                    -8.628169368439544       -1.1286800773701926
4.2E11                    -9.782251046698113       -0.9449000027694952
4.4E11                    -10.772866054749123      -0.799509926900669
4.6E11                    -11.197065892157653      -0.7029047431349182
4.8E11                    -10.821606591118124      -0.6595372989234942
5.0E11                    -9.881180641052893       -0.6667841765660614
5.2E11                    -8.774508906720861       -0.716221751340518
5.4E11                    -7.740732749817846       -0.7964480195002241
5.6E11                    -6.860169973741136       -0.8959512063482701
5.8E11                    -6.137963976660488       -1.0049823359158339
6.0E11                    -5.554404640611886       -1.1162131166232354
6.2E11                    -5.085949158125381       -1.2244493377817127
6.4E11                    -4.712927004896726       -1.325657767283663
6.6E11                    -4.421946455968934       -1.4151957807725775
6.8E11                    -4.201734701659026       -1.4853582714240594
7.0E11                    -4.008788449339088       -1.531928455427536
7.2E11                    -3.7418653667383017      -1.5928089124596436
7.4E11                    -3.453912926153459       -1.6965714054029912
7.6E11                    -3.2356238236875745      -1.8043300654106864
7.8E11                    -3.0687514560274365      -1.9014988904162449
8.0E11                    -2.9295803982297763      -1.9909387768470435
