% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 19 2026, 19:35
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -3.803621598017306       -2.7250816296437352
3.2E11                    -4.005511801607536       -2.591393299113869
3.4E11                    -4.2489212068585545      -2.4467116318120317
3.6E11                    -4.547088253813825       -2.28860028966943
3.8E11                    -4.917318218093071       -2.1149298696939036
4.0E11                    -5.381900193199285       -1.9244400521699165
4.2E11                    -5.9684266227611005      -1.717612169977368
4.4E11                    -6.707861767587144       -1.4978225167300185
4.6E11                    -7.625934110918066       -1.2725224467119276
4.8E11                    -8.71694059176536        -1.053842033031607
5.0E11                    -9.87945759596068        -0.8577432669517543
5.2E11                    -10.816027275068148      -0.7011126454877714
5.4E11                    -11.07583558998671       -0.5973224325091265
5.6E11                    -10.49488981717971       -0.5522369587175666
5.8E11                    -9.420750127853848       -0.5628968545270187
6.0E11                    -8.266053292472202       -0.6194803434736874
6.2E11                    -7.233238634371348       -0.7090638792903037
6.4E11                    -6.372890129907018       -0.8190970648344053
6.6E11                    -5.674286460568158       -0.9394304894140603
6.8E11                    -5.109962098501228       -1.062897868325439
7.0E11                    -4.652055797659229       -1.1850043467816205
7.2E11                    -4.277118758961854       -1.3032555997972057
7.4E11                    -3.9668322986437783      -1.416426407305606
7.6E11                    -3.707408301177339       -1.5238289401325946
7.8E11                    -3.4878736460232815      -1.6245798507693077
8.0E11                    -3.2927882987059105      -1.718930926815041
