% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 19 2026, 19:38
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -4.16632113857634        -2.539361735768695
3.2E11                    -4.440636732812586       -2.383387576218454
3.4E11                    -4.777030590393011       -2.2138090932977934
3.6E11                    -5.195453845962885       -2.0288553902106403
3.8E11                    -5.721518959625291       -1.8279524047100386
4.0E11                    -6.386478058295777       -1.6127056960541366
4.2E11                    -7.223686206525319       -1.388101942121167
4.4E11                    -8.254631588034657       -1.1635517780929465
4.6E11                    -9.447580938259021       -0.9530283944334111
4.8E11                    -10.622843473098238      -0.7734126121055213
5.0E11                    -11.354719252773078      -0.6407505055024334
5.2E11                    -11.203220916994008      -0.5655765570468279
5.4E11                    -10.27143333109455       -0.5496987046955203
5.6E11                    -9.052866043203121       -0.586316486715527
5.8E11                    -7.892209271827321       -0.6631486883316362
6.0E11                    -6.907758782320616       -0.7664945770008035
6.2E11                    -6.107886340738339       -0.884289401613141
6.4E11                    -5.466096258576418       -1.0074918494786682
6.6E11                    -4.950461800483742       -1.130163413744667
6.8E11                    -4.5328546041746005      -1.248885717162366
7.0E11                    -4.190894885532452       -1.361995041591373
7.2E11                    -3.9075973041856145      -1.4688456782288566
7.4E11                    -3.670356941643748       -1.5690944218102323
7.6E11                    -3.468626221379739       -1.6620762335635169
7.8E11                    -3.2849321044439037      -1.7495326149695987
8.0E11                    -3.1018906534684527      -1.8439456011261202
