% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 22 2026, 08:53
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -6.275965719535833       -1.63857092531391
3.2E11                    -7.226640561720376       -1.383309470163846
3.4E11                    -8.423839990438612       -1.136445457383621
3.6E11                    -9.870498034384063       -0.9127383116680328
3.8E11                    -11.40630990421526       -0.7291401542601403
4.0E11                    -12.484786598720081      -0.6008562143882843
4.2E11                    -12.37339835445258       -0.5366874720329279
4.4E11                    -11.189201504575612      -0.5360749494157272
4.6E11                    -9.696380397529008       -0.5896411075635759
4.8E11                    -8.34382234885945        -0.6827591572855316
5.0E11                    -7.240339459518818       -0.799927475626272
5.2E11                    -6.369304354476498       -0.9279370729536739
5.4E11                    -5.686313464407549       -1.0571933871790864
5.6E11                    -5.148653655840035       -1.1816271588485732
5.8E11                    -4.72206613598936        -1.2979029196532665
6.0E11                    -4.381075433819934       -1.404408692524779
6.2E11                    -4.107970956145682       -1.500136055466263
6.4E11                    -3.8915087678657736      -1.583171259939563
6.6E11                    -3.7201385384491563      -1.6493871382488892
6.8E11                    -3.5504471472492956      -1.703884740593395
7.0E11                    -3.343182874807356       -1.778000522847982
7.2E11                    -3.1621938629338446      -1.8642927949754886
7.4E11                    -3.0205634002374997      -1.9443744822077813
7.6E11                    -2.901512146304002       -2.0183028907167735
7.8E11                    -2.7955586096086176      -2.088937354626441
8.0E11                    -2.698219623319733       -2.158323493204231
