% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 3 2026, 09:04
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.5E11                    -4.81437357541081        -2.138052290283627
2.7E11                    -5.42620608049033        -1.865496585614066
2.9E11                    -6.233501797687998       -1.576898860562529
3.1E11                    -7.314553590038301       -1.2803576557410938
3.3E11                    -8.768241764400104       -0.9912239280353352
3.5E11                    -10.675034779267111      -0.7321204587734924
3.7E11                    -12.873556134312425      -0.529208484494705
3.9E11                    -14.265838130519226      -0.40433904798899156
4.1E11                    -13.399333923439265      -0.3664952679036818
4.3E11                    -11.335800316825424      -0.4082751242546303
4.5E11                    -9.422268241157937       -0.5099646281446983
4.7E11                    -7.942989214786408       -0.6477606620936127
4.9E11                    -6.840531857907135       -0.8007232797857768
5.1E11                    -6.018650666136525       -0.9539069523604948
5.3E11                    -5.398990119204825       -1.0983418026510678
5.5E11                    -4.9250328990025185      -1.2295587154304635
5.7E11                    -4.5573764144072655      -1.3458747596306675
5.9E11                    -4.268767153878834       -1.4469370954677094
6.1E11                    -4.039822795560905       -1.5326256469351902
6.3E11                    -3.853721128154444       -1.6026619931561767
6.5E11                    -3.685661968673162       -1.6593570015470895
6.7E11                    -3.496476615378814       -1.7175415948109907
6.9E11                    -3.2863760568312466      -1.797399793191429
7.1E11                    -3.1110119323428194      -1.8870770347620067
7.3E11                    -2.980475410698501       -1.9687450278514904
7.5E11                    -2.875973090315789       -2.0413006554766784
