% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 2 2026, 18:54
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.5E11                    -4.797184323722365       -2.1467440422384305
2.7E11                    -5.402738213989057       -1.8753667254414508
2.9E11                    -6.201038148983633       -1.587788280894919
3.1E11                    -7.269197433608977       -1.2918601549109046
3.3E11                    -8.704895862202218       -1.0026194907808688
3.5E11                    -10.589729457660289      -0.7424055095725044
3.7E11                    -12.778229208256883      -0.5372956890527116
3.9E11                    -14.223771300445415      -0.40940082655352517
4.1E11                    -13.443202063897399      -0.3682674138394224
4.3E11                    -11.403023098042649      -0.4071084748657241
4.5E11                    -9.481226907325267       -0.5066062979849368
4.7E11                    -7.9892249838334175      -0.6430473881336158
4.9E11                    -6.875933795729491       -0.7953647912250037
5.1E11                    -6.045781654524264       -0.9484060670427713
5.3E11                    -5.419972702065849       -1.0930070685270519
5.5E11                    -4.941447447850083       -1.2245531812567942
5.7E11                    -4.570356335099354       -1.3412670264400937
5.9E11                    -4.279104314379061       -1.442743040809532
6.1E11                    -4.048041704310073       -1.5288426467071345
6.3E11                    -3.860122565118359       -1.5993044906789087
6.5E11                    -3.6904042333554066      -1.6564906610669805
6.7E11                    -3.4998647207483407      -1.7152301164647554
6.9E11                    -3.2889996722707107      -1.7955471079156349
7.1E11                    -3.1132778053953873      -1.8855147066254254
7.3E11                    -2.9825137524968266      -1.9673691802877178
7.5E11                    -2.877809779815397       -2.0400645891333036
