% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 19 2026, 19:37
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -4.557258498207632       -2.3537407235565864
3.2E11                    -4.923175973000516       -2.1742185838090076
3.4E11                    -5.377881273218714       -1.9800054269477674
3.6E11                    -5.949279585290951       -1.7710871211378558
3.8E11                    -6.6711012942782455      -1.5498909719705243
4.0E11                    -7.578057195100082       -1.3224616745332964
4.2E11                    -8.687297844976559       -1.0993466570991541
4.4E11                    -9.943821086460341       -0.895389768881564
4.6E11                    -11.101894548611508      -0.72759565673999
4.8E11                    -11.651665734203318      -0.6110131709067955
5.0E11                    -11.220495408428409      -0.5541273869427894
5.2E11                    -10.100164273426609      -0.5562585787521078
5.4E11                    -8.820660151446017       -0.6084979066939818
5.6E11                    -7.666641827441541       -0.6973545404057633
5.8E11                    -6.712075421742507       -0.8088406746734644
6.0E11                    -5.946134138744618       -0.9312313347764439
6.2E11                    -5.335648340956519       -1.0561070094119667
6.4E11                    -4.8469741598969405      -1.1781894478039525
6.6E11                    -4.4520266092283185      -1.2946366670230733
6.8E11                    -4.128995241986345       -1.404238759110843
7.0E11                    -3.8615296356421163      -1.5066837504654698
7.2E11                    -3.6375129873813288      -1.6018612022546126
7.4E11                    -3.446291812279632       -1.6893748337891106
7.6E11                    -3.2696175949871744      -1.772149828441252
7.8E11                    -3.097099077271453       -1.8614787786363454
8.0E11                    -2.9498959279674453      -1.9521736570649717
