% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 2 2026, 06:08
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.5E11                    -4.4407115755314255      -2.3088448134668003
2.7E11                    -4.930253381004982       -2.05451320131974
2.9E11                    -5.572033279267937       -1.77864449102522
3.1E11                    -6.430850883269893       -1.4842867183594055
3.3E11                    -7.598842518220663       -1.18065409730095
3.5E11                    -9.197027267316887       -0.8851609350709334
3.7E11                    -11.329137100976972      -0.6231987440743989
3.9E11                    -13.758015218384704      -0.4234045552139172
4.1E11                    -14.89025191334111       -0.30838021754231537
4.3E11                    -13.333817578398596      -0.28542959129545875
4.5E11                    -10.976932281677758      -0.343933056964234
4.7E11                    -9.026456429838085       -0.4611918815800747
4.9E11                    -7.57848137390726        -0.611805651710499
5.1E11                    -6.517169027799507       -0.7746368632690346
5.3E11                    -5.731230674474247       -0.9353603808360721
5.5E11                    -5.1392343223731825      -1.0858973729953225
5.7E11                    -4.684778825103092       -1.2226579328842166
5.9E11                    -4.32920855812906        -1.3447732251057718
6.1E11                    -4.045904705547251       -1.4527244506934403
6.3E11                    -3.8159753804112833      -1.5473992067949522
6.5E11                    -3.623608521473933       -1.62986093434922
6.7E11                    -3.4485234372075055      -1.704114203445871
6.9E11                    -3.273376047573495       -1.7818841848381541
7.1E11                    -3.118677480408514       -1.8642311985089375
7.3E11                    -2.9948028241011175      -1.9406543097379658
7.5E11                    -2.8892604165655094      -2.0108524423740533
