% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Feb 19 2026, 07:39
% Dimension:          1
% Nodes:              26
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -5.5001274202740715      -1.963108234211012
3.2E11                    -6.106197236115085       -1.744461968132941
3.4E11                    -6.872398364910925       -1.515448889781033
3.6E11                    -7.838350713331515       -1.2824779250791773
3.8E11                    -9.025917116288447       -1.056511729422322
4.0E11                    -10.375227593906988      -0.8527898633008646
4.2E11                    -11.596441605184385      -0.6885542388544272
4.4E11                    -12.083510308582854      -0.5787300360008902
4.6E11                    -11.464525619050821      -0.5311486566220808
4.8E11                    -10.174475308933564      -0.543969134909446
5.0E11                    -8.802284256328356       -0.6068849756001441
5.2E11                    -7.610005976078225       -0.7051467745341454
5.4E11                    -6.645269387667908       -0.8239117052966148
5.6E11                    -5.8823748404431795      -0.9510626506083062
5.8E11                    -5.280824439619854       -1.0781582007873467
6.0E11                    -4.803444352253766       -1.2001243591541875
6.2E11                    -4.420453219000582       -1.3144229609103217
6.4E11                    -4.109233732851526       -1.420162926301973
6.6E11                    -3.8530508026817403      -1.5173259115879238
6.8E11                    -3.639521544963456       -1.6061009984431627
7.0E11                    -3.457408431518378       -1.6867267564655255
7.2E11                    -3.288489101689897       -1.763597376173078
7.4E11                    -3.126666971065421       -1.845568790035791
7.6E11                    -2.9894271363365537      -1.9261617281757868
7.8E11                    -2.871015719845731       -2.002476151747868
8.0E11                    -2.763858999021718       -2.076710980106785
